time,comment,event,event_player,event_team,comment_desc,home_team,home_team_abbr,away_team,away_team_abbr,full_time_score,match,date,link
77," BLOCK! Balde is played into space down the left flank and he checks back to tee up Coutinho for a strike, but the Brazilian sees his charged down before Neuer pounces on the loose ball. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
76," Mingueza floats a ball over the top looking for the run of Depay, but Upamecano is there with the forward and watches it through to Neuer. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
74, Balde replaces Alba down the left flank. The full-back had given everything this evening for the hosts. ,substitution,"[' Alejandro Balde ', ' Jordi Alba ']",Barcelona,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
72," SAVE! Gnabry sends a throughball forward into the path of Goretzka. He slips as he strikes at goal from the right-inside channel, but Ter Stegen gets down to save his effort with ease. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
69, Musiala leaves the field after an encouraging outing for the visitors. Gnabry replaces him in the final third. ,substitution,"[' S. Gnabry ', ' J. Musiala ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
68, OVER! Coutinho shows intent for the home side as he cuts inside from the right flank and blasts a strike towards the top-right corner that sails just over the bar. Barca have been lacking that sort of initiative this evening. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
66, Garcia is withdrawn at the back for Barca and is replaced by Mingueza. ,substitution,"[' Oscar Mingueza ', ' Eric Garcia ']",Barcelona,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
66, Hernandez enters the action for the visitors to replace Pavard. ,substitution,"[' L. Hernandez ', ' B. Pavard ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
66, Coutinho comes on for the hosts in the final third. De Jong makes way after an ineffectual outing. ,substitution,"[' Philippe Coutinho ', ' L. de Jong ']",Barcelona,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
64, Goretzka does well under pressure as he chases back amid the presence of Gavi to head back to Neuer. He gets shoved in the process and wins a free-kick. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
61, Bayern are in complete control of the contest now and can exert their will on Barcelona. How the times have changed at Camp Nou. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
59, Demir enters the action for the home side in place of Sergi Roberto. ,substitution,"[' Y. Demir ', ' Sergi Roberto ']",Barcelona,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
59, Busquets is withdrawn by Koeman and is replaced Gavi. ,substitution,"[' Gavi ', ' Sergio Busquets ']",Barcelona,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
58, Lewandowski has scored in his last 5 games in the Champions League (6 goals in total). ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
56, GOALLLLLLLLLLLLLLLLLLLLLL!!!! LEWANDOWSKI SCORES ON THE REBOUND!!!!!! 2-0 BAYERN!!!!! The German side double their advantage as Lewandowski is alert from close range to poke the ball home after Musiala strikes the post. Bayern play their way through Barca in the middle of the park before Musiala latches on to a blocked strike. He hammers an effort towards goal that clatters off the right post. Lewandowski is first to react and stretches out his left boot to knock into an empty net. ,goal,"[' R. Lewandowski ', ' Goal ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
54, Bayern are ramping up the pressure on the home side at the start of the second half. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
53," Lewandowski collects on the edge of the box and opts not to fire at goal. He sends an incisive pass towards Goretzka in the box, but he fails to get the ball from out of his feet under pressure. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
52," SAVE! Sane is denied by the boot of Ter Stegen. The winger and Lewandowski combine with a neat one-two to allow Sane to break into the box. After breaking free of Garcia, he fires low and hard on his left foot, but the Barca keeper makes an excellent reaction stop. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
49, WIDE! Busquets latches on to a loose ball 25 yards from goal and goes for a blast on his left foot. He connects well with his effort that Muller sticks out a leg and diverts wide of the target. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
48, Barca have not attempted to inject tempo into the contest in the second half. They have been measured in possession. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
46, We're back under way at Camp Nou. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," Barcelona have not been able to lay a glove on the visitors in the final third, Jordi Alba has been bright down the left flank, but there have not been many options for him to pick out in the middle. Ronald Koeman may need a rethink at the interval. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," Bayern Munich hold a 1-0 lead over Barcelona at the break in their Champions League Group E clash at Camp Nou. Thomas Muller scored the only goal of the game as he strike from 20 yards was deflected past Marc-Andre ter Stegen. Opportunities have been thin on the ground to say the least, but the slice of fortune has put the German outfit ahead in this opening fixture. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
45, HALF-TIME: BARCELONA 0-1 BAYERN MUNICH ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
42," Alba breaks down the left flank once more and angles a cross towards Frenkie de Jong. Upamecano reads the danger and gets back to intervene, clearing the delivery away. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
40, Barcelona do not have Messi in their line-up to bail them out anymore. It's going to take a team effort to get back into the contest. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
38," Alba collects down the left flank in a flowing Barca move. He angles a cross to the back post for Frenkie de Jong, but the ball just sails over the head of the Dutchman. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
36, Bayern have scored in each of their last 23 Champions League games. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
35," Goretzka offloads into space for Sane, who twists and turns against Araujo. The defender holds his ground in the box and bustles Sane off the ball. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
34, Sane completes a short offload to Muller in space on the edge of the box and the forward does the rest as his deflected strike beats Ter Stegen. ,assist,"[' L. Sane ', ' Assist ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
34," GOALLLLLLLLLLLLLLLLLLLL!!!! MULLER'S DEFLECTED STRIKE FINDS THE NET!!!!!!! 1-0 BAYERN!!!!! The visitors take the lead through Muller as he lines up a strike from 20 yards and it takes a massive ricochet off Garcia to find the net. The forward is afforded space and time on the edge of the Barca box, collecting a short pass from Sane. He goes for the shot and is rewarded for his attempt as it deflects off Garcia and wrongfoots Ter Stegen to roll over the line. ",goal,"[' T. Muller ', ' Goal ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
31," Bayern work the ball into the final third and Muller resists the opening for a strike and goes for a pass towards Lewandowski. However, the Pole is offside before Kimmich sees a strike from close range blocked. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
30, Alba plays Depay into space down the left flank and he sends a cutback into the middle that Upamecano has to clear ahead of Luuk de Jong. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
28," Araujo meets a cross from the right flank from Depay with a powerful header, but he can only plant his attempt over the bar. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
27," BLOCK! Muller opens up the Barca defence with an incisive pass to Musiala. The forward opens up space for a strike in the right-inside channel, but Pique slides in with a low block before the home side scramble the loose ball away from danger. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
25, Goretzka and Busquets battle for the ball in the midfield. The Spaniard goes down and gets the free-kick. Goretzka vents his frustration at the referee. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
23," Goretzka moves forward from the middle of the park and tries to tease a ball into the path of Muller, but Pique makes the interception. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
22," Bayern are starting to exert serious pressure on the home side, but they've not quite find their clinical edge yet. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
20," Musiala makes a neat turn in the final third and tries to thread an offload through to Lewandowski, but his pass leads the Pole away from goal. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
19," SAVE! Ter Stegen keeps the scores level with a great reaction stop. Pavard clips a cross into the box that is cleared into the path of Sane. He lines up a blast on his left-foot that takes a deflection off Sergi Roberto and travels towards goal at speed. However, Ter Stegen sticks out a hand and beats it away. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
18," Goretzka wins the ball in the middle of the park and offloads towards Sane, but his pass to Muller in the left-inside channel is poor and cut out by Araujo. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
17," Alba looks for the quick ball over the top for the run of Depay, but it evades the Dutchman and Sule allows it to travel into the hands of Ter Stegen. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
15, OVER! Alba is played into space down the left flank and he pulls a cross back into the box. Sergi Roberto meets it with a left-footed effort on the half-volley that he steers over the bar. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
14," Lewandowski combines with Goretzka on the edge of the box, but the midfielder strikes his effort straight at Araujo, and the ball deflects into the hands of Ter Stegen. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
12," Depay threads a pass through for Luuk de Jong in the left-inside channel, but Pavard recovers with a perfect sliding challenge. The offside flag goes up late anyway. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
11, Muller flicks a ball forward into the Barcelona box for Lewandowski. Araujo applies pressure and it knocks the Pole off balance enough to prevent him turning and firing at goal. The Barca defender then wins a free-kick as he dispossesses Lewandowski before being fouled. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
9," BLOCK! Sane lines up the resulting free-kick, but he hammers his effort straight into the wall. Barca are then able to clear the danger from the resulting Bayern attack. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
8, Garcia catches Lewandowski late on the edge of the box and gives away a free-kick in a dangerous position. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
7, Barcelona have settled into a solid early rhythm in the contest and are knocking the ball well around the pitch. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
5, Kimmich pulls back Frenkie de Jong on the charge and goes into the book. ,yellow_card,"[' J. Kimmich ', ' Yellow Card ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
2," Sergi Roberto tries to break down the right flank to latch on to a long ball forward from Alba, but pressure from Davies forces the goal-kick. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
1, We're under way at Camp Nou. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," In all major UEFA European competition, Barcelona have lost seven matches against Bayern Munich, three more than they have against any other side (P11 W2 D2 L7). Their two wins against Munich came in home first leg Champions League knockout ties, 4-0 in April 2009 and 3-0 in May 2015. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," Bayern have made two changes to their side that hammered RB Leipzig at the weekend. Sule slots into the back four to replace Hernandez, who drops to the bench. Musiala gets the nod ahead of Gnabry in the final third, with the forward joining Hernandez on the bench. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," Barcelona have not returned to action since the international break, but have made four changes to their side from their last outing against Getafe. Antoine Griezmann and Emerson have left the club in that period, while Martin Braithwaite misses out tonight due to injury. Lenglet drops to the bench to accomodate Pique and Garcia in the back three. Pedri stars in the middle of the park, while Luuk de Jong partners Depay in the final third. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," BAYERN SUBS: Omar Ricards, Serge Gnabry, Kingsley Coman, Eric Choupo-Moting, Michael Cuisance, Marcel Sabitzer, Bouna Sarr, Lucas Hernandez, Marc Roca, Tanguy Kouassi, Sven Ulreich, Josip Stanisic. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," BAYERN (4-2-3-1): Manuel Neuer; Benjamin Pavard, Dayot Upamecano, Niklas Sule, Alphonso Davies; Leon Goretzka, Joshua Kimmich; Leroy Sane, Thomas Muller, Jamal Musiala; Robert Lewandowski. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," BARCELONA SUBS: Sergino Dest, Riqui Puig, Yusuf Demir, Neto, Philippe Coutinho, Clement Lenglet, Oscar Mingueza, Samuel Umtiti, Inaki Pena, Nicolas Gonzalez, Pablo Gaviria, Alejandro Balde. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," BARCELONA (3-1-4-2): Marc-Andre ter Stegen; Ronald Araujo, Gerard Pique, Eric Garcia; Sergio Busquets; Sergi Roberto, Frenkie de Jong, Pedri, Jordi Alba; Memphis Depay, Luuk de Jong. ",,,,half time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
