time,comment,event,event_player,event_team,comment_desc
80," GOAAAAAAL! RODRYGO GETS HIS BRACE! 2-0! What a goal this is from Madrid! A splendid move sees Vinicius dart onto Rudiger's ball in behind and cut back for Valverde on the edge of the area. The midfielder takes a fine touch past Silva before bearing down on Kepa and unselfishly squaring for Rodrygo to tap in. It's 4-0 on aggregate, and the holders are heading to the Champions League semi-finals! ",goal,"[' Rodrygo ', ' Goal ']",Real Madrid,timer
78," Mount and Sterling are supporting Felix in the Chelsea attack now, with Mudryk filling in at left wing-back. The Blues have failed to garner any momentum since Rodrygo's goal, and Madrid have actually looked the more likely scorers on the break. ",,,,timer
77," Lampard responds with a change of his own. Mount comes on for Havertz, who has been lively but lacking in end product. ",substitution,"[' M. Mount ', ' K. Havertz ']",Chelsea,timer
76," Ancelotti turns to his bench again, withdrawing Kroos for Ceballos in midfield. ",substitution,"[' Dani Ceballos ', ' T. Kroos ']",Real Madrid,timer
75," Great defending! Chelsea look to be in trouble as Chalobah misjudges a ball in behind, allowing Vinicius to run clear. With the Brazilian set to shoot, Mudryk dashes back to make a fine challenge, preventing further damage for the hosts. ",,,,timer
74," The visiting fans are loving this as Valverde drills a great pass into Tchouameni, who looks to release Vinicius with a deft flick. Chelsea get bodies back and Mudryk makes a somewhat awkward clearance. ",,,,timer
73," Following his opener in this game, all four of Rodrygo's Champions League knockout-stage goals have come against English sides, with the Brazilian scoring two apiece against Chelsea and Manchester City. ",,,,timer
71," With the tie seemingly won, Benzema will get a rare rest from Champions League duty! Ancelotti brings Tchouameni on to shore up Madrid's midfield. ",substitution,"[' A. Tchouaméni ', ' K. Benzema ']",Real Madrid,timer
70, Chelsea appeal for a penalty as Havertz spins Modric inside the area and goes down. A VAR check takes place… but no penalty is given! Replays show there was minimal contact. ,,,,timer
69," James sees a low shot from outside the area hit Militao and deflect wide for a corner. Felix delivers the set-piece, but Rudiger and Militao combine to clear. ",,,,timer
68," Mudryk, meanwhile, is on for Cucurella, who missed a glaring chance in first-half stoppage time. ",substitution,"[' M. Mudryk ', ' Marc Cucurella ']",Chelsea,timer
67," Sterling comes on for Fernandez, signalling a change of formation. ",substitution,"[' R. Sterling ', ' E. Fernández ']",Chelsea,timer
67, Chelsea are making a trio of attacking substitutions as they bid to claw back a 3-0 aggregate deficit. Joao Felix replaces Gallagher. ,substitution,"[' João Félix ', ' C. Gallagher ']",Chelsea,timer
66," Benzema squanders a great chance! Rodrygo and Vinicius link up on the left-hand side of the area, with the former escaping a challenge to tee up Benzema just six yards out. The Frenchman has time to pick his spot, but remarkably, he side-foots straight at Kepa! ",,,,timer
65," Good save! Gallagher shows good strength to hold off Carvajal and tee up Fernandez, who sees a dipping, left-footed shot parried by Courtois! ",,,,timer
63, Vinicius' assist for Rodrygo's goal was his fifth in the Champions League this season. No other player has laid on more goals for team-mates in the competition this term. ,,,,timer
62," Lampard is preparing to introduce Sterling and Felix in attack, but it appears to be too little, too late after Rodrygo's goal. The Brazil winger did brilliantly to break in behind, but Chalobah must take responsibility for his failure to cut out Militao's pass. ",,,,timer
60," Gallagher shoots straight at Courtois from the edge of the area as Chelsea look to hit back. That goal has completely silenced the home crowd, and Madrid look to be cruising into the Champions League semi-finals! ",,,,timer
58," Vinicius gets the assist for Rodrygo's goal, staying cool under pressure at the far post to pick out his opposite winger, who makes no mistake from close range! ",assist,"[' Vinícius Júnior ', ' Assist ']",Real Madrid,timer
58," GOAAAAAAAL! MADRID HIT CHELSEA ON THE BREAK! It's 1-0 at Stamford Bridge, and 3-0 on aggregate! Chalobah completely misses with an attempt to intercept Militao's pass, sending Rodrygo clear on the right. The Brazilian's cut-back is missed by Benzema but Vinicius keeps it alive, teeing up Rodrygo to slam beyond Kepa from six yards out! Surely this tie is over now! ",goal,"[' Rodrygo ', ' Goal ']",Real Madrid,timer
57," This is another good spell for the hosts, with the atmosphere being ramped up inside Stamford Bridge. Havertz cuts inside Camavinga and shoots… but his weak effort is easily claimed by Courtois! ",,,,timer
55," James' dismal free-kick is cleared by the first defender, before Fernandez sends a low drive wide of the left-hand post. Chelsea's set-pieces need to improve, but they are being offered plenty of encouragement by Madrid! ",,,,timer
54," Chelsea are baying for a second yellow card for Militao as the Brazilian clips Chalobah on the left flank! Lampard is raging at the fourth official, though a second booking for that foul would have been harsh. Chelsea do, however, have the chance to swing a free-kick into the penalty area. ",,,,timer
53," GREAT CHANCE! Havertz sees a right-wing cross acrobatically headed away by Rudiger, but Gallagher nods the ball back into the danger zone. It falls to Kante six yards out, but his volley is blocked in front of the goal by Militao! The Brazilian didn't know much about that, but it was a crucial intervention! ",,,,timer
52," Camavinga is quickly back to his feet as Madrid restart the game. That yellow card means James would miss any potential semi-final first leg, but Chelsea have plenty of work to do before that is of any concern. ",,,,timer
50," Camavinga cries out after coming off worse from a 50-50 challenge with James. The England man is booked, with replays showing he caught the top of Camavinga's foot with his studs showing. ",yellow_card,"[' R. James ', ' Yellow Card ']",Chelsea,timer
49," Rodrygo is the target of a clever free-kick into the right-hand channel, but Chalobah and Silva combine to crowd the Brazilian out and win possession for Chelsea. ",,,,timer
48," The corner is easily cleared, but Madrid quickly win another set-piece as Kovacic trips Kroos in midfield. ",,,,timer
47," Chelsea are furious as Vinicius goes down under minimal pressure from Fofana, with the referee blowing for a free-kick. Kroos swings the ball in… but Chalobah nods behind for a Madrid corner. ",,,,timer
46," Real Madrid have lost just one of their last 13 Champions League matches when going into the break level (W9 D3). All they need to do, to ensure they progress from this tie, is avoid a two-goal defeat. ",,,,timer
46," Madrid get the second half under way! Lampard has opted against making a half-time change, but it is surely just a matter of time before Chelsea make attacking alterations. ",,,,timer
46, Madrid make a half-time substitution as former Chelsea favourite Rudiger enters the fray. He replaces Alaba in the heart of the Blancos defence as they look to see out this tie. ,substitution,"[' A. Rüdiger ', ' D. Alaba ']",Real Madrid,timer
," Madrid have won their last five games in the knockout stages of the Champions League, but they know a draw here will be enough to tee up a semi-final tie against Manchester City or Bayern Munich. Ancelotti's team had fewer shots (five to eight) and created a lower expected goals tally (0.48 to 1.39) than Chelsea in the first half, but they remain in control of this tie. ",,,,half time summary
," Daniele Orsato blows the half-time whistle at Stamford Bridge, with a goalless opening period meaning Madrid retain their 2-0 aggregate lead in this last-eight tie. Despite entering the game in poor form, Chelsea have created the better opportunities and should have made the breakthrough in stoppage time, only for Courtois to brilliantly deny Cucurella from close range. Kante should also have done better with an early chance, but Madrid have shown promising signs on the break with Kepa saving from Modric and Rodrygo hitting the post. It's all to play for in the second half! ",,,,half time summary
45 + 2, HALF-TIME: CHELSEA 0-0 REAL MADRID ,,,,timer
45 + 1," HUGE SAVE FROM COURTOIS! What a chance for Chelsea! Kovacic dances through midfield and tees up James on the right, allowing him to pick out his opposite wing-back Cucurella with a terrific low cross. The Spaniard has time to control and shoot from just six yards out, but Courtois smothers it to keep Madrid's two-goal cushion intact! The Blues should be a goal up in this second leg! ",,,,timer
45," We're into two additional minutes as Chelsea look to build an attack. There has been plenty of effort from both sides, but Madrid retain their 2-0 first-leg lead. ",,,,timer
44," What a break! Courtois catches a Chelsea corner and immediately sets Carvajal on the break. The full-back tears forward and tries to find Benzema with a deep cross, but the Frenchman is just unable to direct his volley inside the near post! That's a reminder of Madrid's quality on the counter-attack. ",,,,timer
42," Chance for Madrid! Modric takes up a dangerous position on the right and whips a brilliant cross towards Vinicius at the back post. The Brazilian is under pressure from Fofana, and the ball spins off his shin and behind. Vinicius should have done better there, with Chelsea's defence caught short. ",,,,timer
41," Havertz flicks the corner on, but Gallagher can't reach the loose ball and it drops harmlessly wide of Courtois' right-hand post. ",,,,timer
40," Kante hares down the right and wins a corner off Camavinga. So much of Chelsea's attacking play has come down that flank, but wing-back James appeared to be limping a moment ago, which will be a big concern for Lampard. ",,,,timer
38," Madrid are not quite clicking at present. Vinicius looks to play a give-and-go with Modric, but the Croatian plays an uncharacteristically poor pass straight to James. ",,,,timer
36," Good defending! James works some space to hit a low cross into the six-yard box, but Alaba slides in to divert it away from the danger zone! ",,,,timer
35," We're into the final 10 minutes of the first half at Stamford Bridge, and Lampard will be relatively pleased with Chelsea's performance. The Blues have enjoyed the better of the play without working Courtois, but with a two-goal win required, they need to be better in the final third. ",,,,timer
34," Cucurella becomes the first Chelsea player booked, having cynically tripped Rodrygo as the Brazilian looked to scamper through midfield. Seconds earlier, Chelsea were frustrated not to be awarded a free-kick when James went down 25 yards out. ",yellow_card,"[' Marc Cucurella ', ' Yellow Card ']",Chelsea,timer
33," Silva rises to power the corner clear, before Kepa is almost caught in possession by Benzema, recovering to clear his lines under fierce pressure. ",,,,timer
32," Modric forces the save! Modric breaks in behind from Carvajal's pass and looks to catch Kepa out with an early shot. His low effort is well-struck, but the goalkeeper is equal to it, diverting the ball behind for a corner. ",,,,timer
30," Danger for Madrid, but the flag is up! Cucurella does well to keep Havertz's header in play and flick a cross towards the six-yard box. Gallagher is just unable to get over the ball as he heads off-target, but the flag eventually goes up against Cucurella! ",,,,timer
29," Chelsea are failing to make the most of their crossing opportunities here. Lampard's side have a spare man inside the Madrid area as Cucurella breaks down the left, but his delivery is overhit and it bypasses everyone. ",,,,timer
28," Solid save! A flowing Madrid move involving Benzema and Rodrygo sees Vinicius released into the left-hand channel, and the Brazilian cuts inside to shoot straight at Kepa. The Chelsea goalkeeper is unable to hold the ball, but Silva is on hand to clear. ",,,,timer
26," Remarkably, each of Benzema's last 11 Champions League goals have come against English teams, while his last 14 have all been in the knockout stages of the competition, the longest such run by a player in Champions League history. The Frenchman has been quiet so far, but Chelsea will be aware of the damage he can cause – he scored a memorable hat-trick here last season. ",,,,timer
25," Militao's yellow card means he will miss the first leg of any semi-final tie through suspension, if Madrid make it… ",,,,timer
24," Militao appears to be in some discomfort following that challenge on Gallagher, having kicked the bottom of the Chelsea man's boot as he flew in at a dangerous height. The defender is continuing for now, but he's certainly not moving freely. ",,,,timer
23," Fernandez's free-kick is easily cleared but Chelsea keep the pressure on, only for Silva to lift a weak attempt straight into Courtois' gloves from 25 yards out. ",,,,timer
22," Militao flies into a reckless challenge on Gallagher, who was looking to break in behind on the left. The Madrid man is booked as Chelsea get a free-kick in a dangerous position, with Fernandez set to deliver. ",yellow_card,"[' Éder Militão ', ' Yellow Card ']",Real Madrid,timer
20," POST! Madrid's first meaningful attack almost ends with a goal! Rodrygo finds space on the right-hand side of the area after linking up with Carvajal, and the Brazilian youngster opts to go for goal after shifting the ball to his right foot. He makes a good connection, but the shot crashes behind off the near post. ",,,,timer
18," Now Rodrygo finds some space on the right flank, but his weak cross is easily cleared by Silva. We haven't seen much of Madrid as an attacking force yet. ",,,,timer
17," A dire corner from James is thumped clear by Militao. Chelsea come again down the right, but Havertz's flick-on is shepherded back to Courtois by Carvajal. ",,,,timer
16," Gallagher and Kovacic combine to feed Cucurella, who crosses against Carvajal to win a corner for Chelsea. The Blues' start has encouraged the Stamford Bridge crowd. ",,,,timer
15," Vinicius tracks back to battle with James, winning a goal-kick for his team. Chelsea are looking to find their right wing-back at every opportunity, and they are causing Madrid problems early on. ",,,,timer
14," Handball! Chalobah steps into midfield and releases Havertz in behind, with the German reaching the byline. He stands up a decent cross towards James, but the referee penalises the Chelsea man as he attempts to control it inside the area. ",,,,timer
12," Chelsea continue to press as James' cross runs all the way through to Kovacic on the edge of the area, only for Militao to block his shot at close quarters. This is a decent spell for the hosts! ",,,,timer
10," WIDE! What a chance for Chelsea! Havertz battles for a cross and the ball drops to Kante 12 yards from goal, completely unmarked. The midfielder swings his left foot at the ball, but he completely scuffs his volley and it bounces wide. That's a real let-off for Madrid! ",,,,timer
9," A rare loose ball from Modric gives Chelsea the chance to put Madrid under pressure, but Kante is crowded out near the edge of the area and Madrid survive. The hosts are at least pressing high when Madrid have possession in their own half, causing the European champions some difficulties. ",,,,timer
8," Chelsea have progressed from five of their last seven Champions League ties when losing the first leg away from home, and they have also qualified from their last two ties when losing the opener by two clear goals (vs Napoli in 2011-12 and Paris Saint-Germain in 2013-14). If they can complete a comeback in this tie, it would surely top those past achievements. ",,,,timer
7," Vinicius gets his first chance to run at Fofana, but the Brazilian overhits his cross after cutting inside and it floats harmlessly behind. ",,,,timer
5," Havertz is playing a lone striking role for Chelsea early on, with Kante and Gallagher pushing higher than Kovacic and Fernandez in midfield. Madrid have lined up in their usual 4-3-3 shape, looking to make the pitch wide and dominate possession. ",,,,timer
4," Kante steals possession from Benzema, but Madrid quickly get it back as Carvajal wins a throw. It's been a fast start here as both teams battle for the ball in midfield. ",,,,timer
3," Cucurella is on hand to intercept a slack ball from Valverde in midfield, and Chelsea can look to build an attack. ",,,,timer
2," Havertz looks to get Chelsea on the front foot straight away, winning a throw-in high on the left. You feel the Blues must score first to have any chance of launching a comeback. ",,,,timer
1, A somewhat bizarre moment before kick-off as the players line up… only for the Champions League anthem to not be played! Stamford Bridge is rocking as Gallagher gets us under way! ,,,,timer
," Real Madrid have progressed from 18 of their 19 previous Champions League ties when winning the first leg by two or more goals, failing only in the 2003-04 quarter-finals against Monaco (4-2 first leg, 1-3 second leg, eliminated on away goals). Can Chelsea spring a major surprise in front of their home fans? The teams are out, and kick-off is imminent! ",,,,half time summary
," Madrid, meanwhile, are unchanged from the first leg. Vinicius, Modric, Kroos and Alaba were among a host of players to be left out as Ancelotti's team won 2-0 at Cadiz in LaLiga on Saturday, but they are all included from the off here. Benzema leads the line as he plays his 131st Champions League game for Madrid – surpassing Raul as the outfield player with the most appearances in the competition for Los Blancos outright. ",,,,half time summary
," Lampard makes four changes to the side which started last week's loss in Spain, with Sterling and Felix joining the injured Kalidou Koulibaly and the suspended Chilwell in making way. Gallagher and Havertz come in with the former expected to play a number 10 role, while Cucurella and Chalobah are also introduced as Lampard moves away from the 4-2-3-1 system he used in Saturday's loss to Brighton and Hove Albion. ",,,,half time summary
," REAL MADRID SUBS: Andrii Lunin, Luis Lopez, Jesus Vallejo, Nacho, Eden Hazard, Marco Asensio, Alvaro Odriozola, Lucas Vazquez, Aurelien Tchouameni, Dani Ceballos, Antonio Rudiger, Mariano Diaz. ",,,,half time summary
," REAL MADRID (4-3-3): Thibaut Courtois; Dani Carvajal, Eder Militao, David Alaba, Eduardo Camavinga; Federico Valverde, Toni Kroos, Luka Modric; Rodrygo Goes, Karim Benzema, Vinicius Junior. ",,,,half time summary
," CHELSEA SUBS: Edouard Mendy, Christian Pulisic, Joao Felix, Ruben Loftus-Cheek, Mykhailo Mudryk, Raheem Sterling, Mason Mount, Denis Zakaria, Hakim Ziyech, Cesar Azpilicueta, Carney Chukwuemeka, Lewis Hall. ",,,,half time summary
," CHELSEA (3-5-1-1): Kepa Arrizabalaga; Trevoh Chalobah, Thiago Silva, Wesley Fofana; Reece James, Mateo Kovacic, Enzo Fernandez, N'Golo Kante, Marc Cucurella; Conor Gallagher; Kai Havertz. ",,,,half time summary
," Fourteen-time European champions Madrid were in cruise control as they swatted Chelsea aside last week, Karim Benzema and Marco Asensio netting either side of Ben Chilwell's red card. Former Chelsea boss Carlo Ancelotti will be desperate for a professional performance here – Madrid squandered a 3-1 first-leg lead against the Blues at this stage last season, before eventually reaching the semi-finals via a last-gasp Benzema strike. ",,,,half time summary
," Sitting 11th in the Premier League table and having come up short in both domestic cups, Chelsea's last chance to salvage any pride from a dismal season comes in the Champions League – but they have it all to do against the holders. The Blues have lost all three of their games since Frank Lampard returned as caretaker boss, including a routine 2-0 defeat to Madrid at the Santiago Bernabeu last week, and they need a memorable performance at Stamford Bridge to have any chance of reaching the last four. ",,,,half time summary
," Hello and welcome to our live coverage of the decisive second leg of this Champions League quarter-final tie, as Chelsea host Real Madrid! ",,,,half time summary
